latitude,longitude,name,state,zip
43.0899,-70.7415,Kittery Animal Hospital and Creature Comforts LLC,ME,3904
42.9885,-70.8282,Lilac Groves Pampered Pups,NH,3870
42.9885,-70.8282,Northern New England Westie Rescue Inc,NH,3870
43.0028,-70.9212,NHSPCA,NH,3885
43.1502,-70.6281,The Grateful Dog Animal Rescue,ME,3909
43.0377,-70.9861,Cats 1st,NH,3856
43.1921,-70.8801,Cocheco Valley Humane Society,NH,3820
42.9783,-70.9666,4 Lil Paws Ferret Shelter,NH,3833
42.9002,-70.8839,All Breed Rescue and Adoption Inc.,NH,3874
42.8376,-70.8733,Merrimack River Feline Rescue Society,MA,1952
43.3043,-70.7353,Emma's Angels Rescue,ME,3906
43.2759,-70.9891,"FuRRR Feline Rescue, Rehabilitation and Retirement",NH,3839
42.8335,-71.005,Safe Tails Animal Rescue,MA,1860
43.311,-70.5749,Safe Haven Humane Society,ME,4090
42.793,-70.9765,New England Equine Rescue North,MA,1985
42.9389,-71.1662,PRONE - Papillon Rescue of the North East,NH,3873
42.7843,-71.0734,"One Tail at a Time Rescue, Inc.",MA,1830
42.8429,-71.1634,Cairn Rescue League,NH,3811
43.4104,-70.8751,Alpha Dog Rescue,ME,4027
43.218,-71.2465,Mary's Dogs,NH,3261
43.3592,-70.4753,Lucky Pup Rescue,ME,4046
42.6829,-70.8423,Ipswich Humane Group Inc.,MA,1938
43.3917,-71.0658,Voice for Animals,NH,3835
42.8944,-71.2917,Greater Derry Humane Society Inc.,NH,3041
42.7904,-71.2182,Feline Friends,NH,3079
42.7904,-71.2182,Salem Animal Rescue League,NH,3079
42.7272,-71.1763,MSPCA at Nevins Farm,MA,1844
42.7272,-71.1763,Odd Dog Rescue,MA,1844
42.6258,-70.6665,Cape Ann Animal Aid,MA,1930
43.5014,-70.9638,Greyhound Pets of America - Central NH Chapter,NH,3852
42.6487,-71.1558,Great Dog Rescue New England,MA,1810
43.257332,-71.401446,Live and Let Live Farm,NH,3258
43.257332,-71.401446,"Homes for Happy Dogs, Inc.",NH,3258
42.9956,-71.4553,Animal Allies,NH,3105
42.5831,-70.9858,"North East Afghan Hound Rescue, Inc",MA,1937
42.9667,-71.4502,All Better Pets,NH,3103
42.9667,-71.4502,Darbster Foundation,NH,3103
42.5611,-70.877,Friends of Beverly Animals,MA,1915
42.5611,-70.877,Lucky Mutt Animal Rescue,MA,1915
43.5004,-70.4433,Hope Harbor Animal Society,ME,4072
42.7365,-71.3243,Animal Rescue Network of New England,NH,3076
42.9876,-71.4866,Friends of the Manchester Animal Shelter,NH,3102
42.9876,-71.4866,For Dog's Sake,NH,3102
42.5322,-70.9633,Animal Umbrella Inc.,MA,1960
42.5172,-70.8999,Northeast Animal Shelter,MA,1970
42.5172,-70.8999,PALS Animal Life Savers,MA,1970
42.5172,-70.8999,The Odd Cat Sanctuary,MA,1970
42.9401,-71.5235,Animal Rescue League of New Hampshire,NH,3110
42.6003,-71.2205,Blind Dog Rescue Alliance - MA,MA,1876
42.498,-70.8646,Friends of Marblehead's Abandoned Animals,MA,1945
42.498,-70.8646,Big Fluffy Dog Rescue,MA,1945
43.2153,-71.534,Pope Memorial SPCA of Concord Merrimack County,NH,3301
42.6485,-71.3347,Lowell Humane Society,MA,1854
42.4886,-70.964,Second Chance Boxer Rescue Inc.,MA,1904
43.0126,-71.5879,Granite State Paw Rescuers,NH,3045
42.5005,-71.0713,PAWS,MA,1880
42.6711,-71.415,Kitty Angels,MA,1879
42.7689,-71.5135,Peis and Strays,NH,3063
42.5744,-71.289,Billerica Cat Care Coalition,MA,1862
43.6643,-70.6035,Ferret Rescue of Maine,ME,4093
43.6875,-70.7946,"New England Lab Rescue, Inc.",ME,4048
43.6066,-70.3491,Tender Touch Rescue,ME,4074
42.4567,-71.0629,Melrose Humane Society,MA,2176
42.4804,-71.1514,Woburn Feral Cat Coalition,MA,1888
42.4804,-71.1514,House Rabbit Network,MA,1888
